Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","231,047,529.84","0.45","231,047,529.84","1,041,036.00","221.94","United States","NASDAQ","USD","1.00","USD","-"
"SWAV","SHOCKWAVE MEDICAL INC","Health Care","Equity","228,370,670.00","0.44","228,370,670.00","789,800.00","289.15","United States","NASDAQ","USD","1.00","USD","-"
"INSP","INSPIRE MEDICAL SYSTEMS INC","Health Care","Equity","196,473,839.49","0.38","196,473,839.49","634,421.00","309.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APLS","APELLIS PHARMACEUTICALS INC","Health Care","Equity","182,989,785.00","0.35","182,989,785.00","2,080,375.00","87.96","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","181,504,505.52","0.35","181,504,505.52","1,048,008.00","173.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIA","SAIA INC","Industrials","Equity","178,489,165.62","0.34","178,489,165.62","589,326.00","302.87","United States","NASDAQ","USD","1.00","USD","-"
"IRDM","IRIDIUM COMMUNICATIONS INC","Communication","Equity","173,675,444.25","0.33","173,675,444.25","2,773,925.00","62.61","United States","NASDAQ","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","170,286,234.80","0.33","170,286,234.80","1,232,440.00","138.17","United States","NASDAQ","USD","1.00","USD","-"
"KRTX","KARUNA THERAPEUTICS INC","Health Care","Equity","167,983,368.45","0.32","167,983,368.45","718,953.00","233.65","United States","NASDAQ","USD","1.00","USD","-"
"TXRH","TEXAS ROADHOUSE INC","Consumer Discretionary","Equity","165,955,835.30","0.32","165,955,835.30","1,487,726.00","111.55","United States","NASDAQ","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Equity","162,139,192.35","0.31","162,139,192.35","480,199.00","337.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RXDX","PROMETHEUS BIOSCIENCES INC","Health Care","Equity","153,461,169.43","0.30","153,461,169.43","771,821.00","198.83","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","151,437,348.56","0.29","151,437,348.56","2,371,396.00","63.86","United States","NASDAQ","USD","1.00","USD","-"
"CROX","CROCS INC","Consumer Discretionary","Equity","148,131,226.32","0.29","148,131,226.32","1,346,158.00","110.04","United States","NASDAQ","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","Real Estate","Equity","143,576,801.84","0.28","143,576,801.84","3,997,127.00","35.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHRD","CHORD ENERGY CORP","Energy","Equity","137,938,211.06","0.27","137,938,211.06","921,862.00","149.63","United States","NASDAQ","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","Health Care","Equity","134,425,050.05","0.26","134,425,050.05","1,516,015.00","88.67","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","Information Technology","Equity","133,815,939.63","0.26","133,815,939.63","788,219.00","169.77","United States","NASDAQ","USD","1.00","USD","-"
"RBC","RBC BEARINGS INC","Industrials","Equity","131,816,790.51","0.25","131,816,790.51","632,913.00","208.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","131,555,021.84","0.25","131,555,021.84","665,192.00","197.77","United States","NASDAQ","USD","1.00","USD","-"
"LNW","LIGHT WONDER INC","Consumer Discretionary","Equity","131,363,302.36","0.25","131,363,302.36","2,095,777.00","62.68","United States","NASDAQ","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","131,067,732.32","0.25","131,067,732.32","1,324,184.00","98.98","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Information Technology","Equity","130,943,135.45","0.25","130,943,135.45","804,665.00","162.73","United States","NASDAQ","USD","1.00","USD","-"
"MUSA","MURPHY USA INC","Consumer Discretionary","Equity","129,241,817.25","0.25","129,241,817.25","446,817.00","289.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
